source,target,weight
8,2645,1
8,2646,1
8,2647,1
8,2648,1
9,2589,1
9,2950,1
9,3279,1
10,173,1
10,2896,0.666667
10,2898,0.666667
11,104,1
11,373,0.666667
11,383,1
11,579,0.666667
11,620,0.666667
11,905,0.5
11,1422,0.666667
11,1442,0.666667
11,1485,0.666667
11,1808,0.5
11,1869,0.5
11,1903,1
11,1929,0.5
11,1939,0.666667
11,2056,0.5
11,2098,0.5
11,2609,1
11,2610,1
11,2611,0.5
11,2612,1
11,2613,1
11,2614,1
11,2615,1
11,2617,1
11,2618,1
11,2619,1
13,94,0.5
13,282,0.666667
13,283,1
13,302,1
13,465,1
13,589,0.666667
13,1003,0.5
13,1047,0.5
13,1222,1
13,1237,1
13,1239,0.666667
13,1321,0.5
13,1360,0.666667
13,1475,1
13,1481,0.666667
13,1534,0.5
13,2107,0.5
13,2308,0.5
13,2438,0.5
13,2536,1
13,2850,0.5
13,2852,1
13,2923,1
13,2924,1
14,37,0.666667
14,38,0.666667
14,96,0.666667
14,134,1
14,137,0.666667
14,522,1
14,594,0.666667
14,1368,0.5
14,1399,0.5
14,1406,0.5
14,1481,0.666667
14,1562,0.5
14,1997,0.5
14,2160,0.5
14,3129,1
14,3130,0.5
14,3131,1
14,3132,0.5
15,79,0.5
15,178,0.5
15,238,0.5
15,690,0.5
15,716,0.5
15,728,0.5
15,735,0.5
15,743,0.5
15,816,0.5
15,1026,0.5
15,1098,0.5
15,2387,1
15,3246,0.5
18,39,0.5
18,117,0.5
18,169,1
18,171,1
18,716,0.5
18,735,0.5
18,784,0.5
18,805,0.5
18,816,0.5
18,1014,1
18,1046,1
20,22,0.5
20,43,0.5
20,46,0.666667
20,49,0.5
20,79,1
20,80,0.5
20,94,0.5
20,123,0.5
20,174,1
20,184,0.5
20,185,0.5
20,231,0.5
20,261,0.5
20,269,0.5
20,349,0.5
20,541,1
20,563,1
20,571,0.666667
20,574,0.5
20,586,0.5
20,613,1
20,636,0.5
20,690,1
20,701,0.5
20,770,1
20,798,0.5
20,831,1
20,850,1
20,876,0.5
20,928,1
20,1008,1
20,1025,0.5
20,1040,0.5
20,1048,1
20,1119,0.5
20,1134,0.666667
20,1264,0.5
20,1296,0.5
20,1314,0.5
20,1386,0.5
20,1579,0.5
20,1734,0.5
20,2119,1
20,2123,1
20,2597,1
20,2598,1
20,2599,1
20,2600,1
20,2601,0.5
20,2602,1
20,2603,1
21,30,0.666667
21,46,0.666667
21,48,0.666667
21,49,1
21,50,0.666667
21,53,0.666667
21,135,0.666667
21,136,1
21,139,0.666667
21,149,1
21,520,0.666667
21,521,0.666667
21,524,0.666667
21,529,0.666667
21,530,0.5
21,535,1
21,541,0.666667
21,551,0.5
21,581,1
21,622,0.666667
21,624,0.666667
21,637,1
21,659,0.666667
21,677,0.5
21,681,0.666667
21,688,1
21,701,0.666667
21,1000,0.5
21,1162,0.666667
21,2010,0.5
21,2149,0.5
21,2150,0.5
21,2151,0.5
21,2152,1
21,2153,0.5
21,2154,1
21,2155,0.5
21,2156,1
21,2158,1
22,25,1
22,40,1
22,60,1
22,84,1
22,101,1
22,169,0.5
22,422,1
22,612,0.5
22,690,0.5
22,706,0.5
22,784,0.5
22,798,1
22,1009,1
22,1012,0.5
22,1098,1
22,1521,1
22,3193,1
23,706,0.5
23,2395,1
25,79,0.5
25,178,1
25,1098,1
26,880,1
26,1071,1
27,37,0.5
27,175,1
27,2386,0.5
29,547,0.5
29,618,0.5
29,1278,1
30,43,1
30,44,0.5
30,46,0.666667
30,49,0.666667
30,70,1
30,133,1
30,135,1
30,139,1
30,261,1
30,276,0.666667
30,373,0.666667
30,519,1
30,520,1
30,521,1
30,540,1
30,541,0.666667
30,542,1
30,556,1
30,574,1
30,588,0.5
30,590,1
30,617,0.666667
30,623,1
30,625,1
30,627,1
30,637,0.666667
30,675,1
30,681,1
30,682,0.666667
30,711,0.666667
30,715,0.666667
30,769,0.666667
30,954,1
30,1021,1
30,1038,0.5
30,1162,1
30,1171,0.5
30,1238,1
30,1538,1
30,1920,1
30,1922,1
30,1925,1
32,2169,1
33,83,1
33,338,1
33,1099,0.5
33,1887,0.5
33,2462,0.5
33,3390,1
35,1399,0.5
37,38,1
37,72,0.666667
37,96,0.666667
37,97,0.5
37,132,1
37,134,0.666667
37,234,1
37,239,0.5
37,249,0.5
37,281,0.5
37,282,0.666667
37,297,0.5
37,354,1
37,378,1
37,534,0.666667
37,544,0.666667
37,555,0.666667
37,890,0.5
37,1093,0.666667
37,1432,0.5
37,1679,0.666667
37,1683,0.666667
37,1688,0.5
37,1860,1
37,1871,0.5
37,1872,1
37,1873,1
37,1874,1
37,1875,1
37,1876,0.5
37,1878,0.5
37,1880,1
37,1881,1
37,1882,1
37,1883,0.5
37,1885,1
37,1888,1
37,1889,1
37,1891,1
37,1894,1
37,1897,1
37,1898,0.5
37,1899,1
37,1900,1
37,1901,1
37,1902,1
37,1904,0.5
37,1905,1
37,1906,1
37,1907,0.5
37,1908,1
38,72,0.666667
38,134,0.666667
38,142,1
38,234,1
38,297,0.5
38,299,1
38,323,1
38,353,1
38,360,0.666667
38,395,0.5
38,555,0.666667
38,560,0.666667
38,631,0.666667
38,890,0.5
38,940,0.666667
38,969,0.5
38,1442,0.666667
38,1679,0.666667
38,1872,1
38,1891,1
38,1901,1
38,1905,1
38,1907,0.5
38,1959,0.5
38,2134,1
38,2169,0.5
38,2180,1
38,2364,1
38,2365,1
38,2366,1
38,2367,1
38,2368,1
38,2369,1
38,2370,1
38,2371,1
38,2372,1
38,2373,1
38,2374,1
38,2375,1
38,2376,0.5
38,2377,1
38,2378,1
38,2381,0.5
38,2382,1
39,53,0.5
39,79,1
39,81,0.5
39,181,0.5
39,185,0.5
39,195,1
39,238,1
39,355,1
39,422,0.5
39,547,0.5
39,563,1
39,571,1
39,609,1
39,610,0.5
39,612,1
39,652,0.5
39,709,1
39,716,1
39,731,1
39,735,1
39,743,1
39,770,1
39,784,1
39,816,1
39,850,1
39,1007,0.5
39,1026,1
39,1037,0.5
39,1067,0.5
39,1069,1
39,1119,0.5
39,1510,0.5
39,1583,0.5
39,2740,0.5
39,2741,0.5
40,178,1
40,563,0.5
40,612,0.5
40,690,0.5
40,743,0.5
40,751,1
40,793,0.5
40,1008,0.5
41,1871,1
41,1876,1
42,113,0.5
42,243,0.5
42,247,1
42,287,0.5
42,547,0.5
42,711,0.5
42,768,0.5
42,1109,1
42,1328,1
42,2715,1
43,46,0.666667
43,49,0.666667
43,53,0.666667
43,70,1
43,79,0.666667
43,80,0.5
43,82,0.5
43,117,0.666667
43,121,0.5
43,129,1
43,131,1
43,133,1
43,135,1
43,139,1
43,149,0.666667
43,174,0.666667
43,221,0.666667
43,244,1
43,258,0.666667
43,261,1
43,276,0.666667
43,284,0.666667
43,301,0.5
43,320,0.5
43,349,0.666667
43,373,0.666667
43,521,1
43,528,1
43,529,1
43,540,1
43,541,0.666667
43,542,1
43,547,0.666667
43,554,0.5
43,556,1
43,562,0.666667
43,563,0.666667
43,564,1
43,565,0.5
43,571,0.666667
43,574,1
43,587,1
43,588,0.5
43,589,0.666667
43,590,1
43,609,0.666667
43,610,1
43,612,0.666667
43,616,0.666667
43,617,0.666667
43,622,1
43,624,1
43,625,1
43,626,0.5
43,627,1
43,628,1
43,630,0.5
43,637,0.666667
43,659,1
43,675,1
43,681,1
43,682,0.666667
43,690,0.666667
43,704,0.5
43,709,0.666667
43,710,0.5
43,711,0.666667
43,715,0.666667
43,716,0.666667
43,731,0.666667
43,735,0.5
43,743,0.666667
43,757,0.666667
43,762,0.666667
43,769,0.666667
43,778,0.666667
43,784,0.666667
43,799,0.5
43,812,0.5
43,816,0.666667
43,822,1
43,839,1
43,842,1
43,856,1
43,910,0.5
43,950,0.5
43,1008,0.5
43,1021,1
43,1026,0.5
43,1038,0.5
43,1043,0.5
43,1048,0.5
43,1162,1
43,1172,0.5
43,1189,0.5
43,1228,1
43,1243,0.5
43,1283,1
43,1299,0.5
43,1327,1
43,1354,0.5
43,1360,0.666667
43,1408,0.5
43,1412,0.5
43,1437,0.5
43,1444,0.5
43,1445,1
43,1459,0.5
43,1476,0.5
43,1477,0.5
43,1481,0.666667
43,1508,0.5
43,1512,0.5
43,1513,0.5
43,1514,1
43,1515,1
43,1516,0.5
43,1518,1
43,1523,1
43,1529,1
43,1530,1
43,1532,1
43,1533,1
43,1534,0.5
43,1535,0.5
43,1536,0.5
43,1538,1
43,1540,1
43,1541,1
43,1542,0.5
43,1549,1
43,1551,1
43,1552,1
43,1553,1
43,1554,1
43,1555,1
43,1556,1
43,1561,1
43,1562,0.5
44,351,1
44,681,0.5
44,842,0.5
44,1321,1
44,3429,1
45,46,0.5
45,55,0.5
45,131,0.5
45,157,0.5
45,539,0.75
45,582,0.75
45,583,0.666667
45,584,0.666667
45,604,0.666667
45,608,0.5
45,804,0.5
45,1032,0.5
45,1133,0.5
45,1134,0.75
45,1178,1
45,1327,0.5
45,1396,1
45,1410,1
45,1423,0.5
45,1577,0.5
45,1611,0.666667
45,1697,0.5
45,1699,0.5
45,1701,0.5
45,1702,0.666667
45,1705,0.5
45,1709,0.5
45,1711,1
45,1714,1
45,1723,0.5
45,1724,0.666667
45,1725,1
45,1735,0.5
45,1738,0.75
45,1784,1
45,1793,1
45,2130,1
45,2131,1
45,2135,1
45,2136,1
45,2137,1
45,2139,1
45,2140,1
46,49,0.666667
46,50,0.666667
46,53,0.666667
46,55,0.5
46,69,0.5
46,70,0.666667
46,79,0.666667
46,80,1
46,133,0.666667
46,135,0.666667
46,136,0.666667
46,139,0.666667
46,157,0.5
46,261,0.666667
46,269,0.666667
46,284,0.666667
46,520,0.666667
46,528,0.666667
46,529,0.666667
46,535,0.666667
46,541,0.666667
46,542,0.666667
46,545,0.5
46,556,0.5
46,562,0.666667
46,563,0.666667
46,571,0.5
46,574,0.666667
46,584,1
46,587,0.666667
46,590,0.5
46,608,0.5
46,617,0.75
46,627,0.666667
46,635,0.5
46,674,0.5
46,675,0.5
46,681,0.666667
46,682,0.5
46,689,0.5
46,711,0.666667
46,767,0.5
46,769,0.666667
46,804,0.5
46,876,0.666667
46,1021,0.666667
46,1032,0.5
46,1133,0.5
46,1134,0.75
46,1178,0.5
46,1316,0.5
46,1423,0.5
46,1564,0.5
46,1575,0.5
46,1577,0.5
46,1697,0.5
46,1698,0.5
46,1699,0.5
46,1700,0.5
46,1701,0.5
46,1703,0.5
46,1704,0.5
46,1705,0.5
46,1706,1
46,1707,0.5
46,1708,0.5
46,1709,0.5
46,1710,0.5
46,1711,1
46,1712,0.5
46,1713,1
46,1714,1
46,1715,1
46,1716,1
46,1717,1
46,1718,0.5
46,1719,0.5
46,1722,0.5
46,1723,0.5
46,1725,1
46,1727,1
46,1728,0.5
46,1729,1
46,1730,0.5
46,1731,0.5
46,1732,0.5
46,1734,1
46,1735,0.5
46,1736,1
46,1737,1
46,1739,0.5
46,1744,0.5
46,1745,0.5
46,1746,0.5
46,1747,0.5
46,1748,0.5
46,1749,1
46,1750,1
46,1751,1
46,1752,1
46,1753,1
46,1754,1
46,1755,0.5
46,1756,1
46,1757,1
46,1758,1
46,1759,1
46,1760,1
46,1761,0.5
46,1762,1
46,1763,1
46,1764,1
46,1765,0.5
46,1766,1
46,1767,0.5
46,1768,1
46,1769,1
46,1770,1
46,1771,1
46,1772,1
46,1773,1
46,1774,1
46,1775,1
46,1776,1
46,1777,1
46,1778,1
46,1779,1
46,1780,1
46,1781,1
46,1782,1
46,1783,1
46,1784,1
46,1785,1
46,1786,1
46,1787,0.5
46,1788,1
46,1789,0.5
46,1790,1
46,1791,1
46,1792,0.5
46,1793,1
46,1794,1
46,1795,1
46,1796,1
46,1797,1
46,1798,1
46,1799,0.5
46,1800,0.5
46,1801,1
46,1802,1
46,1803,0.5
46,1804,0.5
46,1809,1
48,51,1
48,72,0.666667
48,136,0.666667
48,517,0.666667
48,531,0.666667
48,534,0.666667
48,538,0.666667
48,552,0.5
48,579,1
48,594,0.666667
48,601,0.5
48,634,0.5
48,672,0.5
48,680,0.666667
48,686,0.666667
48,701,1
48,821,0.5
48,989,0.5
48,1428,0.666667
48,1485,1
48,1818,0.666667
48,1984,1
48,2205,1
49,50,0.666667
49,51,0.666667
49,53,0.666667
49,70,0.666667
49,79,0.666667
49,80,0.5
49,133,0.666667
49,135,0.666667
49,136,1
49,139,0.666667
49,144,0.5
49,149,1
49,154,0.5
49,238,0.5
49,269,0.666667
49,276,0.666667
49,349,1
49,373,0.666667
49,396,0.5
49,514,0.5
49,515,0.666667
49,519,0.666667
49,520,0.666667
49,521,0.666667
49,524,0.666667
49,525,1
49,528,0.666667
49,529,0.666667
49,530,0.5
49,532,0.5
49,535,1
49,536,0.5
49,540,0.666667
49,541,0.666667
49,542,0.666667
49,547,0.666667
49,551,0.5
49,552,0.5
49,553,0.5
49,556,0.666667
49,558,0.666667
49,561,1
49,562,0.666667
49,563,0.666667
49,564,0.666667
49,570,0.666667
49,571,0.666667
49,574,0.666667
49,576,0.5
49,578,0.5
49,579,0.666667
49,580,0.5
49,581,1
49,584,0.666667
49,587,0.666667
49,590,0.666667
49,595,0.5
49,596,0.5
49,597,0.666667
49,598,0.5
49,599,0.5
49,600,0.5
49,601,0.5
49,602,1
49,603,0.5
49,605,1
49,606,1
49,607,0.5
49,609,0.666667
49,610,0.666667
49,612,0.666667
49,616,0.666667
49,617,0.666667
49,620,0.666667
49,622,0.666667
49,624,0.666667
49,625,0.666667
49,627,0.666667
49,629,0.5
49,632,0.5
49,634,0.5
49,635,0.5
49,637,1
49,638,0.5
49,639,0.5
49,642,0.5
49,644,0.666667
49,645,1
49,646,0.5
49,647,0.5
49,648,1
49,649,1
49,651,1
49,653,1
49,657,0.5
49,658,0.5
49,659,0.666667
49,660,0.5
49,661,1
49,664,1
49,666,1
49,667,1
49,668,0.5
49,669,0.5
49,670,0.5
49,671,0.5
49,672,0.5
49,673,0.5
49,675,0.666667
49,676,0.5
49,677,0.5
49,679,0.5
49,681,0.666667
49,682,0.666667
49,683,0.5
49,685,1
49,687,0.5
49,688,1
49,689,0.666667
49,690,0.666667
49,691,0.5
49,693,1
49,695,0.5
49,696,0.5
49,697,0.5
49,698,0.5
49,700,0.5
49,701,0.666667
50,53,0.666667
50,70,1
50,79,0.666667
50,133,1
50,135,1
50,149,0.666667
50,174,0.666667
50,284,0.666667
50,520,1
50,540,1
50,564,1
50,610,1
50,614,0.5
50,615,0.5
50,617,0.666667
50,619,0.5
50,637,0.666667
50,675,1
50,680,0.666667
50,681,1
50,690,0.666667
50,692,0.5
50,711,0.666667
50,1325,0.5
50,1360,0.666667
50,1659,0.5
50,1844,0.5
50,2717,0.5
51,154,0.5
51,402,0.666667
51,517,0.666667
51,535,0.666667
51,543,0.666667
51,544,0.666667
51,557,0.666667
51,567,0.666667
51,579,1
51,597,1
51,607,0.5
51,620,1
51,657,0.5
51,670,0.5
51,688,0.666667
51,695,0.5
51,770,0.5
51,888,0.666667
51,916,0.5
51,940,0.666667
51,986,1
51,994,0.5
51,1026,0.5
51,1486,0.5
51,1812,0.5
51,1818,0.666667
51,1972,0.666667
51,1993,0.5
51,2065,0.5
51,2152,1
51,2225,0.666667
51,2241,1
51,2244,1
51,2245,0.5
53,70,0.666667
53,79,0.666667
53,83,0.5
53,99,1
53,115,0.666667
53,129,0.666667
53,136,0.666667
53,139,0.666667
53,149,0.666667
53,154,0.5
53,221,0.666667
53,238,0.5
53,261,0.666667
53,267,1
53,269,0.666667
53,284,0.666667
53,338,1
53,347,1
53,349,0.666667
53,359,0.5
53,409,0.5
53,515,0.666667
53,519,0.666667
53,520,0.666667
53,521,0.666667
53,524,0.666667
53,528,0.666667
53,529,0.666667
53,535,0.666667
53,540,0.666667
53,547,0.666667
53,562,0.666667
53,570,0.666667
53,587,0.666667
53,616,0.666667
53,617,0.666667
53,622,0.666667
53,624,0.666667
53,635,0.5
53,637,0.666667
53,690,0.666667
53,706,0.666667
53,709,0.666667
53,715,0.666667
53,718,0.5
53,757,0.666667
53,769,0.666667
53,778,0.666667
53,837,1
53,867,0.5
53,876,0.666667
53,918,1
53,931,0.5
53,1162,0.666667
53,1283,0.5
53,1449,1
53,1450,1
53,1451,0.5
53,1452,1
53,1454,0.5
53,1457,1
53,1463,1
53,1465,1
53,1466,1
53,1467,1
53,1472,1
53,1474,1
53,1479,0.5
53,1480,1
53,1483,1
53,1488,1
53,1489,0.5
53,1490,1
53,1492,1
53,1494,0.5
53,1496,0.5
53,1497,1
53,1501,1
53,1502,1
53,1503,1
53,1506,1
55,80,0.5
55,583,1
55,604,1
55,759,1
55,1178,0.5
55,1423,1
55,1698,1
55,1699,1
55,1701,1
55,1702,1
55,1704,1
55,1705,1
55,1709,1
55,1734,1
55,1738,0.75
55,1748,1
55,2439,1
55,2595,1
55,2768,1
55,2769,1
55,2770,1
57,1442,1
57,2219,1
58,63,0.5
58,89,0.5
58,690,0.5
58,717,1
58,732,0.5
58,800,0.5
59,825,1
60,571,1
60,1069,1
61,278,0.5
61,1570,0.5
61,2052,0.5
61,2933,0.5
61,3396,1
61,3397,0.5
62,123,1
62,451,1
62,514,0.5
62,690,0.5
62,715,0.5
62,757,0.5
62,850,0.5
62,1364,1
62,2000,0.5
65,838,1
65,1008,1
67,639,0.5
67,825,0.5
67,2376,0.5
67,2489,0.5
67,3356,1
67,3357,1
67,3358,1
68,113,1
68,139,0.5
68,529,0.5
68,564,0.5
68,587,0.5
68,610,0.5
68,884,0.5
68,1047,0.5
68,1239,0.5
68,1947,1
68,2007,1
69,1263,0.5
69,1423,0.5
69,3588,1
70,115,1
70,120,0.5
70,129,1
70,131,1
70,133,1
70,135,1
70,136,0.666667
70,139,1
70,149,0.666667
70,197,0.5
70,269,1
70,349,0.666667
70,361,1
70,520,1
70,521,1
70,524,1
70,528,1
70,535,0.666667
70,541,0.666667
70,542,1
70,546,0.5
70,553,1
70,554,0.5
70,556,1
70,574,1
70,589,0.666667
70,590,1
70,617,0.666667
70,619,0.5
70,621,1
70,622,1
70,626,0.5
70,627,1
70,630,0.5
70,635,0.5
70,637,0.666667
70,659,1
70,675,1
70,680,0.666667
70,681,1
70,691,0.5
70,715,0.666667
70,762,0.666667
70,768,0.5
70,769,0.666667
70,822,1
70,842,1
70,950,0.5
70,954,1
70,956,1
70,1021,1
70,1099,0.5
70,1118,0.5
70,1195,1
70,1307,0.5
70,1327,1
70,1355,0.5
70,1360,0.666667
70,1477,0.5
70,1514,1
70,1516,0.5
70,1664,0.5
70,1741,1
70,1805,0.5
70,1850,1
70,1851,1
70,1852,1
70,1853,1
70,1855,0.5
70,1862,1
70,1863,1
70,1864,1
70,1865,1
70,1870,1
71,149,1
71,676,1
72,97,0.5
72,124,1
72,151,1
72,274,1
72,281,0.5
72,282,0.666667
72,287,0.5
72,290,0.5
72,292,1
72,293,1
72,297,0.5
72,305,0.666667
72,330,0.5
72,331,0.5
72,1432,0.5
72,1574,0.5
72,1860,1
72,1898,0.5
72,1927,0.5
72,1959,0.5
72,2071,1
72,2085,0.5
72,2125,1
72,2159,1
72,2162,1
72,2163,1
72,2164,1
72,2165,1
72,2166,1
72,2167,0.5
72,2168,0.5
72,2169,0.5
72,2170,1
72,2171,1
72,2172,1
72,2173,1
72,2174,0.5
72,2176,1
72,2177,1
72,2178,1
72,2179,1
72,2180,1
72,2181,1
74,402,1
74,502,0.5
74,534,1
74,560,1
74,566,1
74,644,0.666667
74,686,1
74,900,1
74,912,1
74,986,1
74,2566,0.5
74,3067,0.5
75,265,0.5
75,534,0.5
75,544,0.5
75,701,0.5
75,3448,1
78,188,1
79,80,0.5
79,84,0.5
79,154,1
79,159,0.5
79,160,1
79,167,1
79,174,1
79,184,0.5
79,185,0.5
79,202,1
79,238,1
79,276,1
79,284,1
79,349,0.666667
79,410,1
79,422,0.5
79,523,0.5
79,529,0.666667
79,541,1
79,542,0.666667
79,548,0.5
79,549,0.5
79,563,1
79,564,0.666667
79,570,1
79,571,1
79,584,0.666667
79,609,1
79,610,0.666667
79,611,0.5
79,612,1
79,616,1
79,617,0.666667
79,625,0.666667
79,682,0.666667
79,687,1
79,690,1
79,706,1
79,709,1
79,715,1
79,716,1
79,728,1
79,731,1
79,743,1
79,752,0.5
79,762,1
79,769,1
79,770,1
79,784,1
79,794,0.5
79,831,1
79,838,0.5
79,839,0.5
79,850,1
79,857,1
79,876,0.666667
79,884,0.666667
79,928,1
79,1008,1
79,1016,1
79,1025,0.5
79,1026,1
79,1034,1
79,1043,1
79,1046,0.5
79,1048,1
79,1069,1
79,1080,1
79,1084,0.5
79,1085,0.5
79,1086,0.5
79,1087,0.5
79,1088,0.5
79,1089,1
79,1184,0.5
79,1248,0.5
79,1517,0.5
79,1520,1
79,1566,0.5
79,2012,0.5
79,2118,1
79,2157,1
79,2296,0.5
79,2383,1
79,2384,1
79,2386,0.5
79,2387,0.5
79,2388,1
79,2389,1
79,2390,1
79,2391,1
79,2392,1
79,2394,1
79,2395,0.5
79,2396,1
79,2397,1
79,2398,1
79,2399,1
80,261,0.5
80,276,0.5
80,539,0.5
80,541,0.5
80,563,0.5
80,564,0.5
80,582,0.5
80,583,0.5
80,584,1
80,604,0.5
80,612,0.5
80,687,0.5
80,732,0.5
80,757,0.5
80,770,0.5
80,784,0.5
80,850,0.5
80,1069,0.5
80,1423,0.5
80,1575,0.5
80,1611,0.5
80,1704,0.5
80,1712,0.5
80,1719,0.5
80,1722,0.5
80,1723,0.5
80,1728,0.5
80,1732,0.5
80,1735,0.5
80,1738,0.5
80,1792,0.5
80,2437,1
80,2650,1
80,2651,1
80,2652,1
80,2653,0.5
80,2654,1
80,2655,0.5
81,743,0.5
81,1583,1
82,133,0.5
82,135,0.5
82,139,0.5
